fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin
2013-01-01,4267X,HINOJOSA DEL DUQUE,CORDOBA,551,"6,0","0,0","2,9",23:59,"9,0",14:30,29.0,"2,8","5,3",16:50,,,,
2013-01-02,4267X,HINOJOSA DEL DUQUE,CORDOBA,551,"5,8","0,0","0,6",08:00,"10,9",15:00,36.0,"1,7","5,3",15:30,,,,
2013-01-03,4267X,HINOJOSA DEL DUQUE,CORDOBA,551,"6,6","0,0","1,2",23:59,"12,0",14:30,5.0,"3,3","7,5",09:00,,,,
2013-01-04,4267X,HINOJOSA DEL DUQUE,CORDOBA,551,"6,1","0,0","-1,1",06:20,"13,3",15:00,4.0,"2,2","5,0",15:20,,,,
2013-01-05,4267X,HINOJOSA DEL DUQUE,CORDOBA,551,"6,0","0,0","-1,3",07:50,"13,4",14:40,32.0,"0,8","3,3",13:30,,,,
2013-01-06,4267X,HINOJOSA DEL DUQUE,CORDOBA,551,"5,5","0,0","-1,3",06:20,"12,3",14:30,29.0,"1,4","4,2",13:00,,,,
2013-01-07,4267X,HINOJOSA DEL DUQUE,CORDOBA,551,"4,6","0,0","1,0",02:00,"8,3",15:00,34.0,"1,9","4,7",18:20,,,,
2013-01-08,4267X,HINOJOSA DEL DUQUE,CORDOBA,551,"6,8","0,0","4,6",08:00,"9,0",14:00,10.0,"0,8","4,4",10:40,,,,
2013-01-09,4267X,HINOJOSA DEL DUQUE,CORDOBA,551,"7,0","0,0","2,9",03:30,"11,2",Varias,16.0,"1,4","4,2",14:20,,,,
2013-01-10,4267X,HINOJOSA DEL DUQUE,CORDOBA,551,"11,0","0,4","8,2",08:00,"13,9",13:50,22.0,"2,5","5,8",02:30,,,,
2013-01-11,4267X,HINOJOSA DEL DUQUE,CORDOBA,551,"10,2","0,0","7,5",23:30,"12,8",14:40,33.0,"2,2","5,0",13:30,,,,
2013-01-12,4267X,HINOJOSA DEL DUQUE,CORDOBA,551,"10,4","0,0","5,9",01:50,"15,0",14:20,26.0,"3,9","10,3",14:40,,,,
2013-01-13,4267X,HINOJOSA DEL DUQUE,CORDOBA,551,"7,1","0,0","4,7",23:59,"9,5",12:50,28.0,"6,1","11,4",13:00,,,,
2013-01-14,4267X,HINOJOSA DEL DUQUE,CORDOBA,551,"4,9","0,0","0,0",07:00,"9,8",14:00,30.0,"3,3","8,1",14:50,,,,
2013-01-15,4267X,HINOJOSA DEL DUQUE,CORDOBA,551,"6,0","0,0","2,0",01:50,"10,1",15:40,28.0,"4,4","11,7",14:40,,,,
2013-01-16,4267X,HINOJOSA DEL DUQUE,CORDOBA,551,"7,8","4,2","5,0",00:20,"10,7",22:00,24.0,"6,4","12,8",14:20,,,,
2013-01-17,4267X,HINOJOSA DEL DUQUE,CORDOBA,551,"9,7","0,0","5,9",07:40,"13,5",14:50,28.0,"4,4","10,8",16:00,,,,
2013-01-18,4267X,HINOJOSA DEL DUQUE,CORDOBA,551,"12,3","8,2","11,0",21:50,"13,6",13:10,21.0,"5,8","13,9",23:50,,,,
2013-01-19,4267X,HINOJOSA DEL DUQUE,CORDOBA,551,"8,7","3,8","5,1",23:59,"12,3",Varias,24.0,"12,5","25,3",15:20,,,,
2013-01-22,4267X,HINOJOSA DEL DUQUE,CORDOBA,551,"4,9","5,2","1,4",20:00,"8,4",10:40,26.0,"7,2","17,8",14:20,,,,
2013-01-23,4267X,HINOJOSA DEL DUQUE,CORDOBA,551,,,,,,,,"6,1",,,,,,
2013-01-24,4267X,HINOJOSA DEL DUQUE,CORDOBA,551,"9,4","0,5","6,2",23:59,"12,5",15:20,24.0,"6,1","13,6",01:00,,,,
2013-01-25,4267X,HINOJOSA DEL DUQUE,CORDOBA,551,"7,9","1,8","5,6",02:00,"10,2",15:50,28.0,"1,9","6,4",20:40,,,,
2013-01-26,4267X,HINOJOSA DEL DUQUE,CORDOBA,551,"11,7","0,0","8,3",23:59,"15,1",13:10,29.0,"4,2","10,0",05:20,,,,
2013-01-27,4267X,HINOJOSA DEL DUQUE,CORDOBA,551,"10,2",,"7,4",23:59,"13,0",14:30,27.0,"3,3","14,2",21:50,,,,
2013-01-28,4267X,HINOJOSA DEL DUQUE,CORDOBA,551,"7,0","0,2","1,0",23:59,"12,9",13:50,28.0,"2,2","11,1",02:30,,,,
2013-01-29,4267X,HINOJOSA DEL DUQUE,CORDOBA,551,"6,8","0,0","-0,8",07:40,"14,4",15:20,32.0,"1,4","3,3",01:20,,,,
